name,age,minutes_played,goals,assist,top_speed,class
Gerrard Moreno,29,513,3,6,28.1,B
Giacomo Raspadori,21,15,0,0,25.2,C
Goran Pandev,38,1070,3,2,29.5,B
Haris Seferovic,29,652,4,0,32.4,B
Harry Kane,28,1316,16,5,30.8,A+
Ivan Trickovski,34,194,0,0,27,D
Jeremy Doku,19,165,0,0,32,B
Joao Felix,22,278,0,0,30.4,C
Joel Pohjanpalo,27,326,2,1,28.8,C
Jonas Wind,22,79,0,0,31.5,C
Josip Brekalo,23,482,0,0,28.4,C
Karim Benzema,33,349,4,0,29.5,C
Kasper Dolberg,24,500,5,1,30.6,B
Kenan Karaman,27,501,0,0,28.4,C
Kevin Nisbet,24,21,0,0,25,D
Kevin Volland,29,10,0,0,29.2,C
Kieffer Moore,29,644,3,1,32.21,B
Kingsley Coman,25,560,3,0,33.71,B
Kylian Mbappé,22,840,3,4,32.21,A
Lassi Lappalainen,23,272,0,1,32.21,B
Lautaro Martinez,24,795,6,1,31.2,A
Leandro Trossard,26,75,0,0,28.6,C
Lionel Messi,34,630,10,5,30.9,A
Lorenzo Insigne,30,512,5,1,30.8,B
Luis Suarez,34,813,7,1,29.1,B
Luuk De Jong,31,153,1,0,26.8,D
Lyndon Dykes,26,431,0,0,29.9,C
Marcelo Moreno Martins,34,258,3,1,24.8,D
Marcus Berg,35,865,2,3,28.6,B
Marcus Forss,22,7,0,0,27.7,C
Marcus Rashford,24,393,3,0,33.5,B
Marcus Thuram,24,9,0,0,23.8,D
Mario Gavranovic ,32,247,2,0,26.3,D
Marko Arnautović,32,217,7,2,31.5,B
Martin Braithwaite,30,1086,4,0,31.5,B
Matěj Vydra,29,80,0,0,29,C
Memphis Depay,27,822,8,10,30.8,A+
Michael Gregoritsch,27,312,2,1,28.8,C
Michael Krmenčík,28,156,0,0,27,C
Michal Duris,33,195,1,0,27.2,D
Michy Batshuayi,28,393,4,1,27,C
Mikkel Damsgaard,31,330,2,1,31.5,C
Milan Ristovski,23,4,0,0,25.7,C
Mislav Oršić,28,66,1,1,29,C
Nemanja Nikolić,33,115,1,0,29,D
Olivier Giroud,35,737,6,0,28.8,C
Ousmane Dembélé,24,32,0,0,28.1,C
Pablo Sarabia,29,378,3,2,27.4,C
Paolo Guerrero,37,219,1,0,28.5,D
Patrik Schick,25,867,9,1,32.4,A
Paulo Dybala,28,666,3,3,30.3,B
Quincy Promes,29,515,0,2,31,B
Radamel Falcao,35,334,5,0,28.1,C
Rafa Silva,28,197,0,3,32.8,B
Raheem Sterling,26,1215,11,8,33.1,A+
Roberto Firmino,30,369,4,1,31.5,B
Roland Sallai,24,761,0,2,29.2,B
Roman Yaremchuk,26,917,6,2,30.8,B
Romelu Lukaku,28,849,11,4,31.3,A+
Ryan Christie,26,530,2,2,27.9,B
Salomón Rondón,32,460,0,0,29.5,C
Sasa Kalajdzic,24,112,1,0,27.2,C
Serge Gnabry,26,842,8,1,30.8,B
Sergio Agüero,33,151,1,0,30.2,C
Shinji Okazaki,35,156,0,0,27.2,D
Steven Berghuis,29,146,0,0,29.5,C
Szabolcs Schön,21,28,0,0,27.4,C
Takefusa Kubo,20,416,0,0,29.8,B
Teemu Pukki,31,1122,10,1,33.3,A
Thomas Müller,32,292,0,0,29.5,C
Timo Werner,25,354,2,0,27.4,C
Tomáš Pekhart,32,15,0,0,25.4,D
Tyler Roberts ,22,46,0,0,24.3,D
Vlatko Stojanovski,24,149,1,0,27,C
Wout Weghorst,29,220,1,0,29.2,C
Yannick Carrasco,28,393,1,4,29.5,B
Yussuf Poulsen,27,883,4,1,30.6,B
